,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,class
0,178.73085451886266,174.5440707403106,163.87781501376523,7.322807093928514,6.944836919534731,6.815196781328942,baik
0,176.13891239688002,171.93838936377657,161.7108937344243,7.833510508375596,7.697702475732686,7.757052740480993,baik
0,173.16557474265892,168.84284785102307,159.14595081629295,7.2123742147644405,7.1631821634276225,7.317461931453429,baik
0,175.93110550379572,171.7070113522462,162.27618634259258,7.432872581173726,7.31116545459936,7.563285869636574,baik
0,175.03420713085714,170.82625540274833,162.45549971155984,6.9113322409979965,6.770446526474857,6.955033046567777,baik
0,175.7204119870256,171.44905952993338,161.46634677211935,6.388289334670778,6.4559783077019315,6.77248179443994,baik
0,173.3498146662507,169.31821587216695,160.2892477243159,6.267561244559246,6.2690718415980085,6.409876728640592,baik
0,147.58857832774314,154.2159937759826,182.46382954223355,11.199429536651978,11.814981366580398,12.507240131324501,baik
0,140.93202331086755,149.4592670015537,184.90413423760708,11.552551824133701,12.59848884696976,13.84881245105535,baik
0,142.08153587438062,150.37658364368124,185.7314228401623,12.337857307948832,13.400522193775899,15.14124395080266,baik
0,138.85171258897077,147.4300295880312,183.6516008506026,13.411717550243186,14.900319385632972,18.000429935141224,baik
0,175.93097502216844,171.7238943101731,161.19838748313728,8.744969047596957,8.290246912526941,8.336630746637322,baik
0,141.53023685843937,149.9332376372617,185.31983894059167,11.675748360207045,12.758169993763968,14.347727200105702,baik
0,136.38848692930105,144.9982234550842,180.80245830971276,12.28494506301674,13.55705991692718,15.626268406764947,baik
0,136.19088905816957,144.63134941959038,180.39138914149765,12.69200323619936,14.085627229857431,16.691652544404892,baik
0,136.6809212641461,145.064760848398,180.7723102744184,13.13366435501062,14.533031148902856,17.067821100216257,baik
0,138.98176008925947,147.3772040114271,183.38864267736415,13.762319654617398,15.213384799983743,18.033766960743005,baik
0,137.12826644450217,145.50484959608843,180.91426401289684,13.04074539507514,14.230657903615691,15.849802553378016,baik
0,148.4078092029636,154.54174720621273,183.1067385190959,11.503993826639526,12.372450851398671,13.957378543671384,baik
0,149.18069736092738,154.98389266489775,183.55538479859536,12.660758641628465,13.692074294809911,15.438691105433326,baik
0,148.66755596432245,154.59294993556836,183.23841591999454,11.377539820730947,12.307615478010458,13.900432716935702,baik
0,148.12163784302302,153.92053346705194,182.37560216023138,11.533986515292222,12.358874096546215,13.584646484438835,baik
0,178.16513637394488,173.91158970469823,163.31752065531066,8.631333916807403,8.155326591788008,8.275371535338268,baik
0,148.0807559038276,154.16574825339086,182.3374843185731,12.610487091053757,13.442706074789962,14.655035495842883,baik
0,147.7500734861846,153.5478761672493,181.99278039244248,12.562159723326795,13.45408812552497,15.045632586129347,baik
0,143.02903450635657,151.42644147743974,185.2730364425863,12.030995159297072,13.001117009790997,14.358634812433097,baik
0,141.5245372502782,150.10298408039912,183.58707932439953,11.83034520141224,12.745663854071172,13.60739490474356,baik
0,174.60794743701575,170.3563481313578,160.07477857736663,7.577286568357966,7.330284043517998,7.383685590589346,baik
0,176.22409137159138,171.99626437220186,161.79972514753766,7.350399983897146,7.125121807048088,7.384407798293455,baik
0,175.7848248225755,171.562493368038,161.77223501800773,6.711656080730001,6.555149596695625,6.607583320790145,baik
0,175.43311867055658,171.16052714445436,161.23863555951826,6.822182437108804,6.730149059783871,6.869085484655976,baik
0,172.7651547205086,168.5521844169497,158.42597959651272,6.355967785267472,6.353146103961621,6.44036287445156,baik
0,176.9526350557378,172.76890157180142,162.73097209654514,8.069261529657167,7.819719415044655,7.817268597298542,baik
0,180.82581713755462,176.2707699334878,166.18175539763232,8.287945432393043,7.68654920996289,7.638973528345781,jelek
0,178.37509452896447,174.2387788558659,163.81301222269323,8.332609546399917,7.687845720550452,7.394760350830277,jelek
0,178.18475522590927,174.06880373677248,164.24660654397368,7.382048710167971,6.853731331945282,6.968329665350007,jelek
0,181.47896000593613,177.50832177382364,166.73840660897338,9.61961958493788,8.940702928768474,8.72547182857234,jelek
0,174.09402673916506,170.02811788308128,160.1612326503244,7.6467844257667945,7.430479905340113,7.245860114119232,jelek
0,178.8185466698427,175.0865657730426,164.36676769262604,8.583896911217806,8.034546387580301,7.7530585326401456,jelek
0,177.74750366059538,173.58869312530555,163.7860926877199,8.90777260787508,8.371146871316535,8.191220423943621,jelek
0,174.24946205225672,170.19609556352424,160.39339570928672,8.321878914949421,7.911281026384862,7.8566276318622155,jelek
0,177.07759770200886,173.02177792257424,163.28420638481205,8.850590573681549,8.600253522665309,8.563406407354929,jelek
0,174.26718570600002,170.3680940248334,160.0686586354651,8.382077574572218,8.144003410504764,7.901103698212581,jelek
0,178.54765538527033,174.45821702244115,164.05279815118897,8.460768554593972,7.959208814837832,7.702821185842925,jelek
0,174.0213458011355,170.13984808026865,160.1887135990524,7.690608212141668,7.352370331416988,6.897643688697593,jelek
0,179.63143140062806,176.89125700260394,165.46185843543927,7.04018563473625,6.9640003810840785,6.70700378380326,jelek
0,139.01825852833417,147.5555676118827,186.7030568448444,12.159619515016383,12.913933928631902,14.45436375952767,jelek
0,138.35627914842635,147.13567140783783,187.31861862704187,11.504648424048296,12.304535113747965,13.527256689645327,jelek
0,137.10087635555766,145.6206993358686,184.92681382931258,12.008487659599039,12.775302185941637,14.175304390275704,jelek
0,136.78805427938923,145.56456589676765,185.72706788155077,11.80438781478836,12.568307256658274,13.66782465826361,jelek
